SourceYear,borough_district,language,ProgramRows
2023-2024,Manhattan-02,Spanish,5
2023-2024,Manhattan-03,Spanish,11
2023-2024,Manhattan-03,French,2
2023-2024,Manhattan-03,Italian,2
2023-2024,Manhattan-03,Russian,1
2023-2024,Manhattan-04,Spanish,14
2023-2024,Manhattan-05,Spanish,4
2023-2024,Manhattan-06,Spanish,57
2023-2024,Manhattan-75,Spanish,1
2023-2024,Manhattan-79,Spanish,1
2023-2024,Queens-24,Spanish,42
2023-2024,Queens-24,Chinese,3
2023-2024,Queens-24,Polish,2
2023-2024,Queens-25,Chinese,20
2023-2024,Queens-25,Spanish,10
2023-2024,Queens-25,Korean,1
2023-2024,Queens-26,Chinese,3
2023-2024,Queens-27,Spanish,9
2023-2024,Queens-27,Bengali,1
2023-2024,Queens-28,Spanish,5
2023-2024,Queens-28,Bengali,1
2023-2024,Queens-29,Spanish,3
2023-2024,Queens-30,Spanish,31
2023-2024,Queens-75,Spanish,4
2023-2024,Queens-75,Chinese,1
2023-2024,Queens-79,Spanish,1
2023-2024,Staten Island-31,Spanish,14
2024-2025,Bronx-07,Spanish,14
2024-2025,Bronx-08,Spanish,7
2024-2025,Bronx-09,Spanish,33
2024-2025,Bronx-10,Spanish,43
2024-2025,Bronx-11,Bengali,1
2024-2025,Bronx-11,Spanish,1
2024-2025,Bronx-12,Spanish,15
2024-2025,Bronx-75,Spanish,14
2024-2025,Brooklyn-13,Spanish,5
2024-2025,Brooklyn-13,French,3
2024-2025,Brooklyn-14,Spanish,15
2024-2025,Brooklyn-14,Yiddish,2
2024-2025,Brooklyn-14,Chinese,1
2024-2025,Brooklyn-14,French,1
2024-2025,Brooklyn-14,Italian,1
2024-2025,Brooklyn-14,Polish,1
2024-2025,Brooklyn-15,Spanish,21
2024-2025,Brooklyn-15,Chinese,6
2024-2025,Brooklyn-15,French,2
2024-2025,Brooklyn-16,Spanish,3
2024-2025,Brooklyn-16,French,1
2024-2025,Brooklyn-17,Spanish,7
2024-2025,Brooklyn-17,Haitian Creole,3
2024-2025,Brooklyn-19,Spanish,14
2024-2025,Brooklyn-19,Bengali,2
2024-2025,Brooklyn-20,Chinese,20
2024-2025,Brooklyn-20,Spanish,12
2024-2025,Brooklyn-20,Arabic,2
2024-2025,Brooklyn-20,Italian,2
2024-2025,Brooklyn-20,Russian,1
2024-2025,Brooklyn-21,Chinese,5
2024-2025,Brooklyn-21,Spanish,5
2024-2025,Brooklyn-21,Russian,2
2024-2025,Brooklyn-22,Spanish,3
2024-2025,Brooklyn-22,Russian,2
2024-2025,Brooklyn-23,Spanish,2
2024-2025,Brooklyn-32,Spanish,18
2024-2025,Brooklyn-75,Spanish,4
2024-2025,Brooklyn-75,Chinese,2
2024-2025,Brooklyn-75,Yiddish,2
2024-2025,Manhattan-01,Chinese,5
2024-2025,Manhattan-01,Spanish,2
2024-2025,Manhattan-02,Spanish,6
2024-2025,Manhattan-02,Chinese,5
2024-2025,Manhattan-02,(American) Sign Language,1
2024-2025,Manhattan-03,Spanish,13
2024-2025,Manhattan-03,French,2
2024-2025,Manhattan-03,Italian,1
2024-2025,Manhattan-03,Russian,1
2024-2025,Manhattan-04,Spanish,14
2024-2025,Manhattan-05,Spanish,4
2024-2025,Manhattan-06,Spanish,56
2024-2025,Manhattan-75,Spanish,2
2024-2025,Manhattan-79,Spanish,1
2024-2025,Queens-24,Spanish,43
2024-2025,Queens-24,Chinese,3
2024-2025,Queens-24,Polish,2
2024-2025,Queens-25,Chinese,17
